formatted_path,sum_pageviews,sum_unique_pageviews,sum_time_on_page,time_per_view,name,nouns
/blog/2021/07/09/down-to-the-individual-grain-how-john-deere-uses-industrial-ai-to-increase-crop-yields-through-precision-agriculture,786,692,460285,585.6043256997456,down to the individual grain how john deere uses industrial ai to increase crop yields through precision agriculture,"[""grain"",""john"",""deere"",""uses"",""ai"",""increase"",""crop"",""yields"",""precision"",""agriculture""]"
/blog/2020/04/14/covid-19-datasets-now-available-on-databricks,162,150,55283,341.25308641975306,covid 19 datasets now available on databricks,"[""covid-19"",""datasets"",""databricks""]"
/blog/2020/05/29/adaptive-query-execution-speeding-up-spark-sql-at-runtime,24629,21382,10827156,439.6100531893297,adaptive query execution speeding up spark sql at runtime,"[""query"",""execution"",""spark"",""sql"",""runtime""]"
/blog/2021/02/12/powering-a-better-future-with-esg-data-and-analytics,429,388,90166,210.17715617715618,powering a better future with esg data and analytics,"[""future"",""esg"",""data"",""analytics""]"
/blog/2020/06/24,2,2,10,5,NA,[]
/blog/2021/08/12/how-building-apache-zeppelin-led-me-to-databricks,2326,1987,1098644,472.3319002579536,how building apache zeppelin led me to databricks,"[""building"",""apache"",""zeppelin"",""databricks""]"
/blog/2021/06/30/databricks-solutions-showcase,611,500,174845,286.1620294599018,databricks solutions showcase,"[""databricks"",""solutions"",""showcase""]"
/blog/2021/05/06,1,1,0,0,NA,[]
/blog/2021/05/27/databricks-announces-the-first-feature-store-integrated-with-delta-lake-and-mlflow,6629,5729,3959788,597.3431890179514,databricks announces the first feature store integrated with delta lake and mlflow,"[""databricks"",""announces"",""feature"",""store"",""delta"",""lake"",""mlflow""]"
/blog/2021/07/29/databricks-lecture-series-at-uc-berkeley-school-of-information,554,489,199740,360.54151624548734,databricks lecture series at uc berkeley school of information,"[""databricks"",""lecture"",""series"",""uc"",""-"",""berkeley"",""school"",""information""]"
/blog/2020/06/11/media-and-entertainment-sessions-you-dont-want-to-miss-at-spark-ai-summit-2020,237,207,66526,280.70042194092827,media and entertainment sessions you dont want to miss at spark ai summit 2020,"[""media"",""entertainment"",""sessions"",""dont"",""spark"",""ai"",""summit-2020""]"
/blog/2021/05/07/improved-tableau-databricks-connector-with-azure-ad-authentication-support,123,110,35075,285.1626016260163,improved tableau databricks connector with azure ad authentication support,"[""tableau"",""databricks"",""connector"",""azure"",""ad"",""authentication"",""support""]"
/blog/2021/08/30/“what,1,1,4,4,“what,[]
/blog/2021/09/17/timeliness-and-reliability-in-the-transmission-of-regulatory-reports,354,296,231685,654.4774011299435,timeliness and reliability in the transmission of regulatory reports,"[""timeliness"",""reliability"",""transmission"",""reports""]"
/blog/2021/05/26/databricks.com/blog/2021/05/26/introducing-databricks-unity-catalog-fine-grained-governance-for-data-and-ai-on-the-lakehouse,5,5,6,1.2,databricks.com,"[""blog/2021/05/26"",""databricks"",""unity"",""catalog"",""governance"",""data"",""ai"",""lakehouse""]"
/blog/2020/11/03 why-cloud,1,1,23,23,NA,"[""cloud""]"
/blog/2020/12/16/a-step-by-step-guide-for-debugging-memory-leaks-in-spark-applications,828,732,376661,454.90458937198065,a step by step guide for debugging memory leaks in spark applications,"[""step"",""step"",""guide"",""debugging"",""memory"",""leaks"",""spark"",""applications""]"
